ID,N.event,Event.date,Region,Province,Municipality,River,Age class,Gender,MorphologicalZone,Corine class,Place,Distance,Density,CodScen,Solid,ReturnPeriod
217,203125,11/06/2011,Emilia-Romagna,Parma,Sala Baganza,Scodogna,50-64,Male,Plain,24,Building,70.5,0.022,outside,na,<2
3877,201577,02/02/1994,Emilia-Romagna,Parma,Montechiarugolo,Enza,<=14,Female,Mountain,13,Campsite,125.7,0.022,M,na,(20-50)
3879,201577,02/02/1994,Emilia-Romagna,Parma,Montechiarugolo,Enza,15-29,Female,Mountain,13,Campsite,125.7,0.022,M,na,(20-50)
3878,201577,02/02/1994,Emilia-Romagna,Parma,Montechiarugolo,Enza,30-49,Male,Mountain,13,Campsite,125.7,0.022,M,na,(20-50)
3358,201276,19/05/1977,Piemonte,Torino,Bricherasio,Pellice,15-29,Male,Mountain,24,Bridge,2.0,0.021,H,Yes,(2-5)
3359,201276,19/05/1977,Piemonte,Torino,Bricherasio,Pellice,15-29,Male,Mountain,24,Bridge,2.0,0.021,H,Yes,(2-5)
3360,201276,19/05/1977,Piemonte,Torino,Bricherasio,Pellice,15-29,Female,Mountain,24,Bridge,2.0,0.021,H,Yes,(2-5)
3355,201276,19/05/1977,Piemonte,Torino,Bricherasio,Pellice,15-29,Male,Mountain,24,Bridge,2.0,0.021,H,Yes,(2-5)
3357,201276,19/05/1977,Piemonte,Torino,Bricherasio,Pellice,15-29,Female,Mountain,24,Bridge,2.0,0.021,H,Yes,(2-5)
3354,201276,19/05/1977,Piemonte,Torino,Bricherasio,Pellice,15-29,Male,Mountain,24,Bridge,2.0,0.021,H,Yes,(2-5)
3356,201276,19/05/1977,Piemonte,Torino,Bricherasio,Pellice,50-64,Male,Mountain,24,Bridge,2.0,0.021,H,Yes,(2-5)
2435,201590,04/11/1994,Piemonte,Cuneo,Farigliano,Tanaro,65-74,Male,Mountain,51,Outdoor,10.3,0.021,H,Yes,(100-200)
3388,203124,05/06/2011,Lombardia,Pavia,Santa Maria della Versa,Versa,>=75,Female,Plain,11,Building,39.0,0.02,outside,na,(2-5)
2399,201632,04/11/1994,Piemonte,Cuneo,Narzole,Tanaro,30-49,Male,Mountain,51,Outdoor,38.0,0.018,H,Yes,(100-200)
3871,201733,08/10/1996,Emilia-Romagna,Bologna,Sala Bolognese, Reno,65-74,Male,Plain,13,Outdoor,282.0,0.017,H,na,(20-50)
2434,201630,04/11/1994,Piemonte,Cuneo,Dogliani,Rea,65-74,Female,Mountain,11,Bridge,0.0,0.017,outside,Yes,(100-200)
3594,201193,18/09/1973,Emilia-Romagna,Parma,Salsomaggiore Terme,Ghiara,15-29,Female,Mountain,11,Building,265.5,0.016,L,na,(20-50)
3593,201193,18/09/1973,Emilia-Romagna,Parma,Salsomaggiore Terme,Ghiara,>=75,Female,Mountain,11,Building,265.5,0.016,L,na,(20-50)
3579,203446,12/11/2014,Lombardia,Cremona,Moscazzano,Adda,30-49,Male,Plain,21,River,1927.0,0.016,outside,na,(10-20)
3790,201286,07/10/1977,Piemonte,Asti,Incisa Scapaccino, Belbo,50-64,Male,Mountain,11,Outdoor,408.6,0.016,L,Yes,<2
2385,201629,04/11/1994,Piemonte,Vercelli,Crescentino,il Po,15-29,Female,Mountain,11,River,0.0,0.016,L,Yes,(100-200)
2386,201629,04/11/1994,Piemonte,Vercelli,Crescentino,il Po,15-29,Female,Mountain,11,River,0.0,0.016,L,Yes,(100-200)
